Solute_encoded,Solvent_encoded,Potential_ID,Alpha,Mu,Sigma,solvent_density,solvent_shear,solute_density,solute_shear,PC2,PC3,PC4,PC5,density_ratio,density_diff,density_mismatch_pct,shear_ratio,shear_diff,shear_mismatch_pct,combined_mismatch
3,1,1,3.0,6,-0.5947139497311306,-1.3370502970876579,-1.171807361004091,-0.17858453854049944,0.3996217263157189,0.5303264754673477,-0.7434030543485857,-0.17501517799331015,-0.04625390010304812,0.13356605875597163,1.1584657585471585,-0.8664339412440284,-0.3410302235798327,1.57142908731981,-1.3410302235798326,1.161914101943635
5,1,8,-1.6,-2,-0.20256746931058137,-1.3370502970876579,-1.171807361004091,-0.1876436229519152,-0.14801740714388464,0.019913425595471445,-0.7022220096704571,0.2573075199398695,-0.09746910721432968,0.14034148405683586,1.1494066741357427,-0.8596585159431641,0.12631547818325053,1.0237899538602064,-0.8736845218167495,0.7510703394274999
5,1,9,-0.8,11,-0.034504691987488866,-1.3370502970876579,-1.171807361004091,-0.1876436229519152,-0.14801740714388464,-0.05606203225160854,-0.792241195507247,0.31178904879361546,-0.17665195808349976,0.14034148405683586,1.1494066741357427,-0.8596585159431641,0.12631547818325053,1.0237899538602064,-0.8736845218167495,0.7510703394274999
5,1,10,0.7,1,-0.426651172408038,-1.3370502970876579,-1.171807361004091,-0.1876436229519152,-0.14801740714388464,0.12121403605824475,-0.5821964285547373,0.18466548146820821,0.008108027277897042,0.14034148405683586,1.1494066741357427,-0.8596585159431641,0.12631547818325053,1.0237899538602064,-0.8736845218167495,0.7510703394274999
5,1,11,1.0,-22,0.07753715956123947,-1.3370502970876579,-1.171807361004091,-0.1876436229519152,-0.14801740714388464,-0.10671233748299519,-0.852253986065107,0.3481100680294461,-0.22944052532961312,0.14034148405683586,1.1494066741357427,-0.8596585159431641,0.12631547818325053,1.0237899538602064,-0.8736845218167495,0.7510703394274999
5,1,1,1.6,8,-0.8187976528285872,-1.3370502970876579,-1.171807361004091,-0.1876436229519152,-0.14801740714388464,0.29849010436809803,-0.3721516616022274,0.0575419141428009,0.19286801263929398,0.14034148405683586,1.1494066741357427,-0.8596585159431641,0.12631547818325053,1.0237899538602064,-0.8736845218167495,0.7510703394274999
6,1,12,0.3,-5,-0.426651172408038,-1.3370502970876579,-1.171807361004091,-0.37297739153546255,0.5296405139367074,0.40958828768582045,-0.8852900905645645,-0.3344904884490524,-0.18766084985449108,0.27895539333701663,0.9640729055521953,-0.7210446066629833,-0.4519859932291877,1.7014478749407984,-1.4519859932291876,1.0469466693681007
6,1,10,1.8,15,0.9738719719510661,-1.3370502970876579,-1.171807361004091,-0.37297739153546255,0.5296405139367074,-0.22354052770651278,-1.6354499725378138,0.11952225199883068,-0.8475179404309084,0.27895539333701663,0.9640729055521953,-0.7210446066629833,-0.4519859932291877,1.7014478749407984,-1.4519859932291876,1.0469466693681007
6,1,1,2.5,11,-0.5947139497311306,-1.3370502970876579,-1.171807361004091,-0.37297739153546255,0.5296405139367074,0.4855637455329005,-0.7952709047277745,-0.38897201730279835,-0.1084779989853209,0.27895539333701663,0.9640729055521953,-0.7210446066629833,-0.4519859932291877,1.7014478749407984,-1.4519859932291876,1.0469466693681007
7,1,13,0.0,-7,-0.4826720981824022,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.2736246039832775,-0.05904549103174627,-0.2530525533187018,0.06279345238774604,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
7,1,14,-2.1,2,-0.3146093208593097,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.3496000618303574,-0.1490646768685362,-0.19857102446495575,-0.016389398481424077,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
7,1,15,-2.3,9,0.13355808533560365,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.552201282755904,-0.38911583909997594,-0.0532869475216332,-0.22754366746587756,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
7,1,10,0.6,-62,0.8618301204023378,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.8814282667599171,-0.7791989777260657,0.182799677511266,-0.5706693545656147,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
7,1,16,-1.4,-4,0.021516233786875304,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.5015509775245175,-0.32910304854211603,-0.08960796675746384,-0.17475510021976426,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
7,1,1,-1.6,-3,-0.426651172408038,-1.3370502970876579,-1.171807361004091,-1.5298979632433496,-1.1085962100877476,-1.2989497565989707,-0.08905188631067627,-0.2348920437007864,0.03639916876468931,1.1442336661348862,-0.1928476661556917,-0.14423366613488625,0.9460567043526851,0.06321115091634355,-0.053943295647314905,-0.007780439294610281
9,1,1,1.0,-4,-0.4826720981824022,-1.3370502970876579,-1.171807361004091,0.07054028277343387,1.5697908149046154,1.336299145050814,-1.349315248348033,-0.6254126119285697,-0.3487173637225208,-0.052758137017794776,1.4075905798610917,-1.0527581370177947,-1.3396321504240276,2.7415981759087065,-2.3396321504240274,2.463066783987336
10,1,17,0.5,72,-0.3146093208593097,-1.3370502970876579,-1.171807361004091,-0.24086574386898274,0.26960293869473045,0.2867162222906717,-0.8314103626077401,-0.055042817679746066,-0.15585628177715902,0.18014710769941322,1.0961845532186751,-0.8198528923005868,-0.23007445393047773,1.4414102996988216,-1.2300744539304778,1.0084800987999671
11,1,18,2.6,-6,-0.5386930239567663,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.8948756550680272,-1.0712848630106233,-0.5255351445102007,-0.23255388240505945,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
11,1,19,-1.9,-28,0.46968363998178864,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.4390229079855474,-1.6113999780313628,-0.19864597138772475,-0.70765098762008,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
11,1,20,0.0,-1,-0.20256746931058137,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.7429247393738673,-1.2513232346842031,-0.4165720868027087,-0.39091958414339967,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
11,1,21,-1.9,13,0.021516233786875304,-1.3370502970876579,-1.171807361004091,-0.17669722928812118,1.0497156644206613,0.641624128911094,-1.371348815799923,-0.3439300483310474,-0.4964967186356265,0.1321545118182916,1.1603530677995366,-0.8678454881817084,-0.8958090718266076,2.2215230254247524,-1.8958090718266076,1.6452693494386736
