material_id,formula,formation_energy_per_atom
mp-570130,AlH3,-0.05904793739583201
mp-1189619,EuAl,-0.354774603499998
mp-12802,AlCu3,-0.20196853
mp-1182911,AlO3,-1.23100709125
mp-1078399,CsAl,0.27059237728448104
mp-1079984,BaAl,-0.12189161000000001
mp-1101848,Nd2Al,-0.295328785833329
mp-1102344,Sm2Al,-0.314055085833331
mp-1102728,Dy2Al,-0.344273992500002
mp-1102875,Er2Al,-0.33815931722222103
mp-1103225,Pr2Al,-0.274225072777772
mp-1103391,Tb2Al,-0.343376898333332
mp-11230,Y2Al,-0.336266310833335
mp-1182869,AlO2,-2.626357823333332
mp-16502,Ho2Al,-0.344653696666663
mp-16526,AlPt2,-0.9216475133333311
mp-2824,AlPd2,-0.8292466416666661
mp-569558,AlAu2,-0.333313270833334
mp-605663,AlPd5,-0.46204495833333203
mp-734251,AlO2,-2.420181035
mp-1023918,AlSb,-0.06518077750000001
mp-1078585,GdAl,-0.42916306624999806
mp-1079783,EuAl,-0.280406542499999
mp-1096799,AlO2,-2.56020288
mp-11228,YAl,-0.468428602500001
mp-11233,ZrAl,-0.529345285000001
mp-1182900,AlO2,-2.4995466675
mp-1183246,AlH3,-0.069383183229166
mp-1210753,Li2Al,-0.181432611111111
mp-12684,LaAl,-0.470004778749999
mp-178,ThAl,-0.37070256499999404
mp-20439,CeAl,-0.3912047725
mp-249,HfAl,-0.45052716500000006
mp-559871,AlF3,-3.855135869166666
mp-568417,PrAl,-0.44112123333333003
mp-985805,AlAg2,-0.056765646666666
mp-999206,ScAl,-0.35555041750000105
mp-1191737,LiAl,-0.061583990833333005
mp-1228001,AlV,-0.28638329500000004
mp-1228813,AlV3,-0.12651598624999602
mp-1228919,AlFe3,-0.08600655999999901
mp-1228927,AlAg3,0.018319204250001
mp-1252764,AlF3,-3.81159451625
mp-1220481,Nb4Al,-0.10302877020000001
mp-1228006,AlV2,-0.18311095666666602
mp-1228923,AlCr2,0.07268553333333701
mp-1228952,AlFe4,-0.062807495999999
mp-1182873,AlP2,-0.054007961269841004
mp-1182888,AlAs2,-0.058441664583331006
mp-1191099,AlAs2,0.072199039583333
mp-1041957,AlW3O8,-2.181867512499999
mp-1173357,SmAlF5,-3.820391957261902
mp-1182949,Al(HO)3,-2.019009386964286
mp-1204888,AlPO6,-1.783103684330357
mp-1205403,AlSeCl7,-0.9633391423958331
mp-1228099,BaAlF5,-4.034682143809523
mp-1228992,AlGe3Mo2,-0.196177092222225
